round,theme,rank,project,composite_score,adopt_priority,recommendation,why_selected
14,输出安全与执行前校验,2,open-policy-agent/opa,5.20,P0,立即纳入主干并设置灰度+回滚,priority=P0; activity=高活跃; fit=最终放行决策; risk=策略复杂
14,输出安全与执行前校验,3,guardrails-ai/guardrails,4.40,P1,纳入次主干，先在业务线试点,priority=P1; activity=中高活跃; fit=执行前结构与规则校验; risk=误拒绝成本
15,审计与事件链路,1,open-telemetry/opentelemetry-specification,5.40,P0,立即纳入主干并设置灰度+回滚,priority=P0; activity=高活跃; fit=事件语义统一; risk=规范更新同步成本
15,审计与事件链路,2,open-telemetry/opentelemetry-collector,5.40,P0,立即纳入主干并设置灰度+回滚,priority=P0; activity=高活跃; fit=审计链路汇聚; risk=配置升级风险
15,审计与事件链路,3,open-policy-agent/opa,5.40,P0,立即纳入主干并设置灰度+回滚,priority=P0; activity=高活跃; fit=决策可解释与追责; risk=性能开销
16,生态成熟度,1,open-policy-agent/gatekeeper,5.40,P0,立即纳入主干并设置灰度+回滚,priority=P0; activity=高活跃; fit=集群治理优选; risk=默认行为变更
16,生态成熟度,2,sigstore/cosign,5.40,P0,立即纳入主干并设置灰度+回滚,priority=P0; activity=高活跃; fit=制品可信底座; risk=密钥流程治理
16,生态成熟度,3,open-telemetry/opentelemetry-collector,5.40,P0,立即纳入主干并设置灰度+回滚,priority=P0; activity=高活跃; fit=遥测底座; risk=升级兼容
17,实施复杂度,1,open-policy-agent/opa,5.40,P0,立即纳入主干并设置灰度+回滚,priority=P0; activity=高活跃; fit=统一策略治理; risk=策略工程能力要求高
17,实施复杂度,2,sigstore/cosign,5.40,P0,立即纳入主干并设置灰度+回滚,priority=P0; activity=高活跃; fit=发布签名门禁; risk=密钥与流程治理
17,实施复杂度,3,openfga/openfga,4.40,P1,纳入次主干，先在业务线试点,priority=P1; activity=高活跃; fit=长期细粒度授权; risk=迁移与治理成本
18,风险暴露面,1,NVIDIA-NeMo/Guardrails,5.40,P0,立即纳入主干并设置灰度+回滚,priority=P0; activity=高活跃; fit=对话与工具安全控制; risk=配置变更外溢
18,风险暴露面,2,open-telemetry/opentelemetry-collector,5.40,P0,立即纳入主干并设置灰度+回滚,priority=P0; activity=高活跃; fit=审计与监控汇聚; risk=升级导致链路抖动
18,风险暴露面,3,open-policy-agent/gatekeeper,5.40,P0,立即纳入主干并设置灰度+回滚,priority=P0; activity=高活跃; fit=集群准入基线; risk=默认值变更外溢
19,适用场景细分,1,openfga/openfga,5.40,P0,立即纳入主干并设置灰度+回滚,priority=P0; activity=高活跃; fit=跨租户细粒度授权; risk=模型迁移风险
19,适用场景细分,2,open-policy-agent/opa,5.40,P0,立即纳入主干并设置灰度+回滚,priority=P0; activity=高活跃; fit=跨系统策略中枢; risk=策略复杂治理
19,适用场景细分,3,sigstore/cosign,5.40,P0,立即纳入主干并设置灰度+回滚,priority=P0; activity=高活跃; fit=发布可信门禁; risk=密钥治理风险
20,综合推荐组合,1,open-policy-agent/gatekeeper,5.60,P0,立即纳入主干并设置灰度+回滚,priority=P0; activity=高活跃; fit=集群准入硬门槛; risk=默认行为变更风险
20,综合推荐组合,2,openfga/openfga,5.40,P0,立即纳入主干并设置灰度+回滚,priority=P0; activity=高活跃; fit=多租户资源边界; risk=模型演进风险
20,综合推荐组合,3,sigstore/cosign,5.40,P0,立即纳入主干并设置灰度+回滚,priority=P0; activity=高活跃; fit=发布前验签门禁; risk=密钥流程风险
