risk_id,category,risk_title,affected_scope,likelihood,impact,risk_level,trigger_signal,mitigation_actions,owner,due_window,acceptance_criteria,evidence_file,evidence_url,status
R011,SLO,No measurable SLO gates before release,全链路发布流程,Medium,High,High,发布未带SLO验证报告,"接入Promptfoo+Opik门禁; 设置go/no-go阈值",SRE+ML Platform,30d,每次发布均有自动评测报告,w4_gateway_slo_policy.md,https://github.com/promptfoo/promptfoo,Open
R012,CostGovernance,Budget and ledger drift,Gateway billing,Medium,High,High,网关计量与账本偏差持续,"引入OpenMeter对账; 设偏差告警阈值1%",FinOps+Platform,60d,偏差<=1%持续30天,w4_gateway_capability_evidence.csv,https://github.com/openmeterio/openmeter,Open
R013,Security,Tool abuse without policy guard,Agent tool execution,Medium,High,High,高风险工具可被任意调用,"接入OPA默认拒绝+OpenFGA授权模型",Security+Platform,30d,越权调用0成功,w6_ai_security_control_module_mapping.csv,https://github.com/open-policy-agent/opa,Open
R014,Security,Unsandboxed high-risk execution,Code/file/network tool actions,Medium,High,High,高风险动作在宿主环境执行,"高风险动作强制E2B沙箱; 审计记录保留",Security+Platform,60d,高风险动作100%沙箱执行,w6_ai_security_governance_map.csv,https://github.com/e2b-dev/E2B,Open
R015,Reliability,Fallback policy gaps for critical models,Inference gateway,Medium,High,High,主provider故障时无稳定切换,"为关键模型配置fallback链; 故障注入演练",Platform+SRE,30d,failover success>=99%,w4_gateway_control_checklist.csv,https://docs.litellm.ai/docs/proxy/reliability,Open
R016,Reliability,Circuit breaker not tuned,Gateway/mesh,Medium,Medium,Medium,错误风暴触发连锁失败,"配置Istio/Envoy熔断阈值并压测调优",SRE,30d,故障注入后无级联故障,w4_gateway_control_checklist.csv,https://www.envoyproxy.io/docs/envoy/latest/intro/arch_overview/upstream/outlier,Open
R017,Observability,Trace coverage below threshold,全链路观测,Medium,Medium,Medium,requests_with_trace_id<99%,"统一request_id和traceparent透传; 覆盖率告警",SRE,30d,trace覆盖>=99%,w4_gateway_control_checklist.csv,https://docs.litellm.ai/docs/proxy/logging,Open
R018,DataQuality,RAG relevance regression,Knowledge retrieval,Medium,Medium,Medium,离线指标与线上反馈分离,"建立离线+在线双评测; 版本回归对比",ML Platform,60d,核心问答集质量不回退,w3_rag_deep_dive.md,https://github.com/qdrant/qdrant,Open
R019,Migration,Platform lock-in in managed gateway,Gateway strategy,Medium,Medium,Medium,配置和策略迁移成本上升,"策略配置抽象化; 保留LiteLLM/APISIX替代方案",Platform,90d,完成一次替代演练,w4_inference_gateway_shortlist.md,https://github.com/Portkey-AI/gateway,Open
R020,Migration,Framework lock-in in orchestration,Agent orchestration,Medium,Medium,Medium,业务逻辑强耦合单框架,"定义编排抽象接口; 对关键流程做可移植封装",Agent Platform,90d,关键流程可在备选框架复现,w1_top6_framework_adr_cards.md,https://github.com/langchain-ai/langgraph,Open
R021,Compliance,PII leakage in logs,Gateway audit logs,Medium,High,High,日志出现敏感字段,"启用日志脱敏规则; 审计抽样检查",Security+SRE,30d,抽样0敏感信息泄露,w4_gateway_control_checklist.csv,https://docs.litellm.ai/docs/proxy/logging,Open
R022,Governance,Hollow conclusions without metric basis,管理报告与决策文档,High,Medium,Medium,关键结论无法追溯到阈值,"要求结论附指标和证据文件; 标记待补证据",PMO,30d,无证据结论占比<5%,w1_exec_readout_1page.md,https://github.com,Open
R023,Performance,Inference throughput bottleneck,vLLM serving pool,Medium,High,High,QPS增长时p95持续恶化,"扩容策略+批处理参数调优; 建立容量模型",ML Platform+SRE,60d,p95恢复到SLO目标,w4_inference_gateway_map.csv,https://github.com/vllm-project/vllm,Open
R024,Performance,Over-retry causes latency amplification,Gateway retry policy,Medium,Medium,Medium,超时后重试风暴,"按幂等性分级重试; 限制最大重试次数",Platform,30d,重试导致的额外错误率下降50%,w4_gateway_slo_policy.md,https://portkey.ai/features/ai-gateway,Open
R025,VendorDependency,Single cloud/provider concentration,Model providers,Medium,High,High,流量集中单供应商>70%,"多provider路由+月度故障切换演练",Platform+FinOps,60d,单供应商占比<60%,w4_gateway_execution_plan.md,https://github.com/BerriAI/litellm,Open
R026,Process,No owner for each control item,Control checklist execution,Medium,Medium,Medium,控制项长期停留Planned,"控制项绑定owner+sprint; 周会跟踪",Platform PM,30d,控制项owner覆盖100%,w4_gateway_control_checklist.csv,https://github.com/BerriAI/litellm,Open
R027,Evaluation,Eval set stale and unrepresentative,Prompt/Model evaluation,Medium,Medium,Medium,线上失败类型未覆盖到测试集,"每月刷新评测集; 引入失败样本回灌",ML Platform,60d,新失败样本48小时内入库,w5_eval_rollback_runbook.md,https://github.com/openai/evals,Open
R028,RuntimeSecurity,Prompt injection bypass,Agent input/output chain,Medium,High,High,红队样例绕过防护策略,"引入Garak/PyRIT回归; 增加输出防护规则",Security,60d,高危注入用例阻断率>=95%,w6_ai_security_governance_analysis.md,https://github.com/NVIDIA/garak,Open
