project,project_type,source_list,protocol_maturity,tool_discovery_mechanism,deployment_mode,compatibility_issues,adoption_signal,url,source_url
modelcontextprotocol/servers/src/everything,reference_server,official_servers_readme,high (reference),tools/list with listChanged support,local stdio,not production-hardened by design,excellent conformance regression target,https://github.com/modelcontextprotocol/servers/tree/main/src/everything,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
modelcontextprotocol/servers/src/fetch,reference_server,official_servers_readme,high (reference),tools/list,local stdio + remote via wrapper,web fetch safety and allowlist policy drift,canonical external-content tool pattern,https://github.com/modelcontextprotocol/servers/tree/main/src/fetch,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
modelcontextprotocol/servers/src/filesystem,reference_server,official_servers_readme,high (reference),tools/list,local stdio,path-permission constrained local deployment,path traversal and over-broad directory grants,most reused local integration pattern,https://github.com/modelcontextprotocol/servers/tree/main/src/filesystem,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
modelcontextprotocol/servers/src/git,reference_server,official_servers_readme,high (reference),tools/list,local stdio + repo mounted container,repo mutation safeguards vary by host approvals,critical for code-agent scenarios,https://github.com/modelcontextprotocol/servers/tree/main/src/git,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
modelcontextprotocol/servers/src/memory,reference_server,official_servers_readme,high (reference),tools/list + resources usage,local stdio,memory schema evolution and persistence compatibility,baseline for persistent-context patterns,https://github.com/modelcontextprotocol/servers/tree/main/src/memory,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
modelcontextprotocol/servers/src/sequentialthinking,reference_server,official_servers_readme,high (reference),tools/list,local stdio,behavior determinism varies by client prompting style,useful for structured reasoning flows,https://github.com/modelcontextprotocol/servers/tree/main/src/sequentialthinking,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
modelcontextprotocol/servers/src/time,reference_server,official_servers_readme,high (reference),tools/list,local stdio,timezone data source inconsistency across runtimes,simple deterministic test fixture server,https://github.com/modelcontextprotocol/servers/tree/main/src/time,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
modelcontextprotocol/servers-archived/src/aws-kb-retrieval-server,archived_reference,servers_archived,low (archived),legacy tools/list pattern,local stdio + cloud api creds,archived status and stale dependency risk,historical pattern for enterprise KB access,https://github.com/modelcontextprotocol/servers-archived/tree/main/src/aws-kb-retrieval-server,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
brave/brave-search-mcp-server,official_integration,official_integrations_list,medium_high (official integration),tools/list + provider api binding,remote cloud api + local client connector,rate limits and query policy changes,official replacement for archived brave reference,https://github.com/brave/brave-search-mcp-server,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
modelcontextprotocol/servers-archived/src/everart,archived_reference,servers_archived,low (archived),legacy tools/list pattern,local stdio + remote generation api,archived and model endpoint drift risk,historical media-generation integration example,https://github.com/modelcontextprotocol/servers-archived/tree/main/src/everart,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
modelcontextprotocol/servers-archived/src/github,archived_reference,servers_archived,low (archived),legacy tools/list pattern,local stdio + GitHub API token,archived status and permissions scope pitfalls,still useful for tool taxonomy reference,https://github.com/modelcontextprotocol/servers-archived/tree/main/src/github,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
modelcontextprotocol/servers-archived/src/gitlab,archived_reference,servers_archived,low (archived),legacy tools/list pattern,local stdio + GitLab API token,archived status and API version drift,historical enterprise scm integration model,https://github.com/modelcontextprotocol/servers-archived/tree/main/src/gitlab,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
modelcontextprotocol/servers-archived/src/gdrive,archived_reference,servers_archived,low (archived),legacy tools/list pattern,local stdio + oauth cloud auth,oauth token refresh and archived maintenance risk,useful auth-flow example despite archival,https://github.com/modelcontextprotocol/servers-archived/tree/main/src/gdrive,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
modelcontextprotocol/servers-archived/src/google-maps,archived_reference,servers_archived,low (archived),legacy tools/list pattern,local stdio + cloud api key,billing quota and archived dependencies,historical geospatial server blueprint,https://github.com/modelcontextprotocol/servers-archived/tree/main/src/google-maps,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
modelcontextprotocol/servers-archived/src/postgres,archived_reference,servers_archived,low (archived),legacy tools/list pattern,local stdio + db network access,sql safety and archived patch velocity,schema-driven db interaction reference,https://github.com/modelcontextprotocol/servers-archived/tree/main/src/postgres,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
modelcontextprotocol/servers-archived/src/puppeteer,archived_reference,servers_archived,low (archived),legacy tools/list pattern,local stdio + browser runtime,headless browser fragility and anti-bot drift,important precursor to browser-use servers,https://github.com/modelcontextprotocol/servers-archived/tree/main/src/puppeteer,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
modelcontextprotocol/servers-archived/src/redis,archived_reference,servers_archived,low (archived),legacy tools/list pattern,local stdio + redis network access,keyspace safety and stale dependency risk,shows low-latency state integration pattern,https://github.com/modelcontextprotocol/servers-archived/tree/main/src/redis,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
modelcontextprotocol/servers-archived/src/sentry,archived_reference,servers_archived,low (archived),legacy tools/list pattern,local stdio + sentry api auth,api auth scope drift and archived status,historical observability tooling pattern,https://github.com/modelcontextprotocol/servers-archived/tree/main/src/sentry,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
zencoderai/slack-mcp-server,official_integration,official_integrations_list,medium_high (official integration),tools/list + provider api binding,remote cloud api + oauth/archive migration,lineage confusion from archived predecessor and token scopes,highly demanded workplace integration,https://github.com/zencoderai/slack-mcp-server,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
modelcontextprotocol/servers-archived/src/sqlite,archived_reference,servers_archived,low (archived),legacy tools/list pattern,local stdio + local db file,db file locking and archived maintenance limits,useful minimal db server reference,https://github.com/modelcontextprotocol/servers-archived/tree/main/src/sqlite,https://raw.githubusercontent.com/modelcontextprotocol/servers/main/README.md
1mcp-app/agent,awesome_aggregator,awesome_mcp_servers,medium (community),"registry/manifest aggregation + tools/list passthrough",hybrid local+cloud,tool namespace collisions across aggregated servers,high discoverability pattern for multi-server setups,https://github.com/1mcp-app/agent,https://raw.githubusercontent.com/punkpeye/awesome-mcp-servers/main/README.md
Aganium/agenium,awesome_aggregator,awesome_mcp_servers,medium (community),"agent:// identity and capability discovery + tools/list",cloud,dns-like identity layer may diverge from core registry naming,novel trust/discovery model for agent-to-agent,https://github.com/Aganium/agenium,https://raw.githubusercontent.com/punkpeye/awesome-mcp-servers/main/README.md
espadaw/Agent47,awesome_aggregator,awesome_mcp_servers,medium (community),platform-indexed discovery + tools/list,cloud,third-party platform dependency volatility,useful for jobs/task marketplace integration,https://github.com/espadaw/Agent47,https://raw.githubusercontent.com/punkpeye/awesome-mcp-servers/main/README.md
AgentHotspot/agenthotspot-mcp,awesome_aggregator,awesome_mcp_servers,medium (community),marketplace discovery + tools/list,hybrid local+cloud,monetization coupling and trust scoring opacity,connector marketplace pattern with monetization,https://github.com/AgentHotspot/agenthotspot-mcp,https://raw.githubusercontent.com/punkpeye/awesome-mcp-servers/main/README.md
rhein1/agoragentic-integrations,awesome_aggregator,awesome_mcp_servers,medium (community),agent marketplace discovery + tools/list,cloud,payment rails and chain dependency risk,emerging paid agent service interoperability,https://github.com/rhein1/agoragentic-integrations,https://raw.githubusercontent.com/punkpeye/awesome-mcp-servers/main/README.md
ariekogan/ateam-mcp,awesome_aggregator,awesome_mcp_servers,medium_high (community),auto-discovery + stdio/http bridge + tools/list,hybrid local+cloud,dual-transport normalization bugs likely,explicitly documents stdio and HTTP bridge modes,https://github.com/ariekogan/ateam-mcp,https://raw.githubusercontent.com/punkpeye/awesome-mcp-servers/main/README.md
askbudi/roundtable,awesome_aggregator,awesome_mcp_servers,medium (community),zero-config auto-discovery + tools/list,hybrid local+cloud,multi-assistant abstraction can hide capability differences,strong signal for unified coding-assistant bridge,https://github.com/askbudi/roundtable,https://raw.githubusercontent.com/punkpeye/awesome-mcp-servers/main/README.md
blockrunai/blockrun-mcp,awesome_aggregator,awesome_mcp_servers,medium (community),provider catalog discovery + tools/list,cloud,payment and provider availability coupling,multi-model brokering pattern via MCP facade,https://github.com/blockrunai/blockrun-mcp,https://raw.githubusercontent.com/punkpeye/awesome-mcp-servers/main/README.md
Data-Everything/mcp-server-templates,awesome_aggregator,awesome_mcp_servers,medium_high (community),template-defined discovery + tools/list,local,self-host template drift from latest spec revisions,valuable boilerplate for rapid internal server rollout,https://github.com/Data-Everything/mcp-server-templates,https://raw.githubusercontent.com/punkpeye/awesome-mcp-servers/main/README.md
duaraghav8/MCPJungle,awesome_aggregator,awesome_mcp_servers,medium (community),self-hosted registry discovery + tools/list,local self-hosted,private registry schema divergence from official registry API,useful enterprise private-registry pattern,https://github.com/duaraghav8/MCPJungle,https://raw.githubusercontent.com/punkpeye/awesome-mcp-servers/main/README.md
edgarriba/prolink,awesome_aggregator,awesome_mcp_servers,medium (community),mcp-native agent discovery/negotiation + tools/list,hybrid local+cloud,negotiation protocol overlap with evolving MCP extensions,strong for agent-to-agent brokerage experiments,https://github.com/edgarriba/prolink,https://raw.githubusercontent.com/punkpeye/awesome-mcp-servers/main/README.md
glenngillen/mcpmcp-server,awesome_aggregator,awesome_mcp_servers,medium (community),directory-driven discovery + tools/list,cloud,listing freshness and verification trust gap,lightweight discovery index server,https://github.com/glenngillen/mcpmcp-server,https://raw.githubusercontent.com/punkpeye/awesome-mcp-servers/main/README.md
gzoonet/cortex,awesome_aggregator,awesome_mcp_servers,medium (community),local graph index discovery + tools/list,local,local index consistency and embedding drift risks,good pattern for local-first semantic tool catalogs,https://github.com/gzoonet/cortex,https://raw.githubusercontent.com/punkpeye/awesome-mcp-servers/main/README.md
isaac-levine/forage,awesome_aggregator,awesome_mcp_servers,medium_high (community),runtime registry search + dynamic install + tools/list,local,dynamic installation security and supply-chain concerns,directly relevant to autonomous tool acquisition,https://github.com/isaac-levine/forage,https://raw.githubusercontent.com/punkpeye/awesome-mcp-servers/main/README.md
julien040/anyquery,awesome_aggregator,awesome_mcp_servers,medium_high (community),sql-abstracted multi-source discovery + tools/list,hybrid local+cloud,sql abstraction can mask provider-specific semantics,strong one-binary integration pattern for many tools,https://github.com/julien040/anyquery,https://raw.githubusercontent.com/punkpeye/awesome-mcp-servers/main/README.md
juspay/neurolink,awesome_aggregator,awesome_mcp_servers,medium (community),provider/model catalog discovery + tools/list,hybrid local+cloud,multi-provider policy harmonization and guardrail mismatch,enterprise-oriented unified AI infra signal,https://github.com/juspay/neurolink,https://raw.githubusercontent.com/punkpeye/awesome-mcp-servers/main/README.md
khalidsaidi/ragmap,awesome_aggregator,awesome_mcp_servers,medium (community),subregistry search + ranked server routing + tools/list,hybrid local+cloud,ranking quality and explainability drift over time,retrieval-capable server routing is highly practical,https://github.com/khalidsaidi/ragmap,https://raw.githubusercontent.com/punkpeye/awesome-mcp-servers/main/README.md
metatool-ai/metatool-app,awesome_aggregator,awesome_mcp_servers,medium_high (community),gui-managed connection discovery + tools/list,hybrid local+cloud,gui-config state may diverge from declarative config in CI,useful operator UX for large connector fleets,https://github.com/metatool-ai/metatool-app,https://raw.githubusercontent.com/punkpeye/awesome-mcp-servers/main/README.md
particlefuture/1mcpserver,awesome_aggregator,awesome_mcp_servers,medium (community),auto-discovery and auto-configuration + tools/list,hybrid local+cloud,automatic config may violate least-privilege defaults,strong pattern for reducing setup friction,https://github.com/particlefuture/1mcpserver,https://raw.githubusercontent.com/punkpeye/awesome-mcp-servers/main/README.md
PipedreamHQ/pipedream/modelcontextprotocol,awesome_aggregator,awesome_mcp_servers,high (platform integration),"large integration catalog discovery + tools/list",hybrid local+cloud,provider API version drift and auth token lifecycle complexity,large-scale API connector distribution model,https://github.com/PipedreamHQ/pipedream/tree/master/modelcontextprotocol,https://raw.githubusercontent.com/punkpeye/awesome-mcp-servers/main/README.md
