repo,classification,release_window,breaking_change_or_risk,impact_area,migration_complexity,rollback_suggestion,source_url
google/osv-scanner,no_clear_breaking,2025-03_to_2026-03,No explicit breaking change identified from release summaries in scope,API|配置,low,Pin previous scanner release and keep lockfile-based comparison,https://github.com/google/osv-scanner/releases
anchore/syft,no_clear_breaking,2025-03_to_2026-03,No explicit breaking change identified from release summaries in scope,数据|部署,low,Pin SBOM generator version and keep previous SPDX/CycloneDX baseline,https://github.com/anchore/syft/releases
Arize-ai/phoenix,no_clear_breaking,2025-03_to_2026-03,No explicit breaking change identified from release summaries in scope,API|数据,low,Pin previous image and validate trace schema compatibility,https://github.com/Arize-ai/phoenix/releases
NVIDIA/garak,no_clear_breaking,2025-03_to_2026-03,No explicit breaking change identified from release summaries in scope,API|配置,low,Pin previous garak package and retain benchmark corpus checksum,https://github.com/NVIDIA/garak/releases
alibaba/OpenSandbox,no_clear_breaking,2025-03_to_2026-03,No explicit breaking change identified from release summaries in scope,部署|配置,low,Rollback to previous runtime image and node resource template,https://github.com/alibaba/OpenSandbox/releases
ory/keto,no_clear_breaking,2025-03_to_2026-03,No explicit breaking change identified from release summaries in scope,API|数据,low,Rollback service image and keep relation tuple export for restore,https://github.com/ory/keto/releases
Giskard-AI/giskard,no_clear_breaking,2025-03_to_2026-03,No explicit breaking change identified from release summaries in scope,API|配置,low,Pin giskard version and keep existing evaluation notebooks locked,https://github.com/Giskard-AI/giskard/releases
sigstore/cosign,no_clear_breaking,2025-03_to_2026-03,No explicit breaking change identified from release summaries in scope,部署|配置,low,Keep previous cosign binary in release pipeline and verify fallback keyless flow,https://github.com/sigstore/cosign/releases
protectai/llm-guard,no_clear_breaking,2025-03_to_2026-03,No GitHub Releases entries available in scope; no explicit breaking signal from release channel,API|配置,low,Pin commit/tag currently in production and monitor changelog/commits before bump,https://github.com/protectai/llm-guard/releases
modelcontextprotocol/typescript-sdk,high_risk_not_explicit,2025-03_to_2026-03,Protocol and contract evolution can break client/server tool interoperability if versions drift,API|配置,medium,Pin sdk+server compatibility pair and rollback both together on schema validation failure,https://github.com/modelcontextprotocol/typescript-sdk/releases
BerriAI/litellm,high_risk_not_explicit,2025-03_to_2026-03,Provider API and proxy behavior changes can degrade route stability and fallback correctness,API|配置|部署,medium,Rollback gateway image and routing policy bundle to last passing release,https://github.com/BerriAI/litellm/releases
qdrant/qdrant,high_risk_not_explicit,2025-03_to_2026-03,Index/search behavior or storage format changes may alter recall and latency envelopes,数据|部署,medium,Restore prior snapshot and pin previous qdrant minor until recall baseline recovers,https://github.com/qdrant/qdrant/releases
modelcontextprotocol/servers,high_risk_not_explicit,2026-03,Ecosystem expansion speed can outpace compatibility governance across MCP clients and servers,API|配置|部署,medium,Rollback both MCP server image and paired client SDK minor as an atomic unit,https://github.com/modelcontextprotocol/servers/issues
langchain-ai/langgraph,high_risk_not_explicit,2026-03,Fast release cadence is safe only if regression gates and canary checks are enforced,API|部署,medium,Disable newly introduced runtime toggles and revert to prior minor on canary failure,https://github.com/langchain-ai/langgraph/releases
openai/openai-agents-python,high_risk_not_explicit,2026-03,Nested handoff/history behavior can create parsing and state consistency regressions,API|数据,medium,Revert SDK minor and disable nested handoff-history path until regression fix validated,https://github.com/openai/openai-agents-python/issues/2258
