repo,layer,tier,total_score,relevance,activity,maturity,risk,migration_cost,adoption_reason,primary_risk,decision,owlclaw_relation,evidence_file,evidence_url,conflict_flag,conflict_note
UKPLab/sentence-transformers,观察池,60,66,88,75,66,70,Embedding生态成熟,非平台层组件,观察,作为嵌入模型基线,w3_rag_data_map.csv,https://github.com/UKPLab/sentence-transformers,N,
FlagOpen/FlagEmbedding,观察池,56,62,74,66,69,71,重排序和Embedding能力实用,模型切换成本中等,观察,用于Embedding性能补位,w3_rag_data_map.csv,https://github.com/FlagOpen/FlagEmbedding,N,
jina-ai/jina,RAG数据,P2,62,68,75,65,64,64,检索编排思路完整,生态复杂度较高,观察,作为RAG工作流备选,w3_rag_data_map.csv,https://github.com/jina-ai/jina,N,
AnswerDotAI/rerankers,观察池,50,55,63,54,74,72,重排工具轻量好用,单点组件可替代性高,观察,用于重排实验,w3_rag_data_map.csv,https://github.com/AnswerDotAI/rerankers,N,
PrithivirajDamodaran/FlashRank,观察池,49,54,62,53,75,73,轻量重排成本低,长期维护与扩展不确定,观察,用于低成本重排,w3_rag_data_map.csv,https://github.com/PrithivirajDamodaran/FlashRank,N,
michaelfeil/infinity,观察池,48,53,61,52,76,73,推理加速方向可参考,主线相关性较弱,不建议,与OwlClaw主线耦合低,w3_rag_data_map.csv,https://github.com/michaelfeil/infinity,N,
embeddings-benchmark/mteb,评测观测,观察池,55,61,72,65,70,70,Embedding评测标准有价值,线上迁移解释力有限,观察,用于离线评测基准,w3_rag_data_map.csv,https://github.com/embeddings-benchmark/mteb,N,
stanford-oval/storm,RAG数据,观察池,52,58,66,57,72,70,研究型RAG思路有启发,工程化资料不足,观察,用于前沿方法观察,w3_rag_data_map.csv,https://github.com/stanford-oval/storm,N,
khoj-ai/khoj,RAG数据,观察池,51,57,64,56,73,70,个人知识助手方向清晰,企业级治理能力不足,观察,用于个人知识场景借鉴,w3_rag_data_map.csv,https://github.com/khoj-ai/khoj,N,
superlinear-ai/raglite,RAG数据,观察池,49,55,62,53,74,72,轻量RAG框架便于验证,规模化证据不足,观察,用于PoC验证,w3_rag_data_map.csv,https://github.com/superlinear-ai/raglite,N,
Tencent/WeKnora,RAG数据,观察池,48,54,61,52,75,72,工程化RAG方案可参考,社区与文档覆盖有限,观察,用于技术雷达跟踪,w3_rag_data_map.csv,https://github.com/Tencent/WeKnora,N,
AirbyteHQ/airbyte,观察池,57,62,86,72,68,71,数据接入生态完整,非Agent核心链路,观察,作为数据入湖入仓工具,w3_rag_data_map.csv,https://github.com/AirbyteHQ/airbyte,N,
apache/tika,观察池,54,59,84,70,70,73,文档解析成熟稳定,仅是工具组件,观察,用于文档解析前处理,w3_rag_data_map.csv,https://github.com/apache/tika,N,
apache/nifi,观察池,50,56,78,66,73,75,数据流编排能力强,与现有平台可能重叠,不建议,主线价值有限,w3_rag_data_map.csv,https://github.com/apache/nifi,N,
apache/kafka,观察池,56,62,93,82,68,77,流式基础设施成熟,非AI专用且运维成本高,观察,用于事件总线层,w3_rag_data_map.csv,https://github.com/apache/kafka,N,
apache/spark,观察池,52,58,92,80,70,78,批处理能力强,在线Agent链路适配复杂,不建议,仅用于离线数据处理,w3_rag_data_map.csv,https://github.com/apache/spark,N,
duckdb/duckdb,观察池,59,66,90,78,66,69,本地分析效率高,分布式能力边界清晰,观察,用于本地分析与评测,w3_rag_data_map.csv,https://github.com/duckdb/duckdb,N,
ClickHouse/ClickHouse,观察池,60,67,89,77,65,70,高性能分析适合日志成本分析,引入运维复杂度,观察,用于观测与成本明细,w3_rag_data_map.csv,https://github.com/ClickHouse/ClickHouse,N,
BerriAI/litellm,推理网关,P0,92,96,88,90,35,42,多模型路由预算能力完整,许可证标记需法务复核,可采纳,作为OwlClaw统一LLM网关,w4_inference_gateway_map.csv,https://github.com/BerriAI/litellm,Y,弱相关标签与P0定位冲突
Portkey-AI/gateway,推理网关,P1,78,84,80,78,48,55,产品化网关快速落地,平台依赖带来迁移风险,可采纳,用于快速治理上线,w4_inference_gateway_map.csv,https://github.com/Portkey-AI/gateway,N,
Kong/kong,推理网关,P2,68,72,92,82,58,66,企业网关治理能力成熟,LLM特性需二次方案化,观察,用于企业API治理扩展,w4_inference_gateway_map.csv,https://github.com/Kong/kong,N,
apache/apisix,推理网关,P1,75,80,86,78,50,58,高性能与插件扩展性强,插件治理复杂度上升,可采纳,用于可定制AI网关,w4_inference_gateway_map.csv,https://github.com/apache/apisix,N,
kgateway-dev/kgateway,推理网关,观察池,56,62,66,58,69,67,K8s网关方向可跟踪,生态成熟度仍在爬坡,观察,用于K8s网关探索,w4_inference_gateway_map.csv,https://github.com/kgateway-dev/kgateway,N,
nginx/nginx,推理网关,观察池,60,65,95,86,65,72,数据面成熟可靠,缺少LLM原生治理能力,观察,用于边界反代与接入层,w4_inference_gateway_map.csv,https://github.com/nginx/nginx,N,
haproxy/haproxy,推理网关,观察池,58,63,90,82,66,72,高性能负载均衡稳定,策略治理能力需外围补齐,观察,用于高性能负载层,w4_inference_gateway_map.csv,https://github.com/haproxy/haproxy,N,
traefik/traefik,推理网关,观察池,57,62,84,74,67,70,云原生接入友好,复杂策略能力有限,观察,用于中小规模入口层,w4_inference_gateway_map.csv,https://github.com/traefik/traefik,N,
envoyproxy/envoy,推理网关,P1,76,81,89,80,51,59,熔断与流量治理能力强,配置复杂与学习成本高,可采纳,作为网关数据面与弹性层,w4_inference_gateway_map.csv,https://github.com/envoyproxy/envoy,N,
envoyproxy/ratelimit,推理网关,P2,65,70,78,68,60,64,限流组件可独立复用,需与主网关深度集成,观察,用于统一配额与限流,w4_inference_gateway_map.csv,https://github.com/envoyproxy/ratelimit,N,
kubernetes/ingress-nginx,推理网关,观察池,56,61,88,76,68,72,K8s入口基础设施成熟,AI治理能力不足,观察,用于通用入口层,w4_inference_gateway_map.csv,https://github.com/kubernetes/ingress-nginx,N,
nginx/nginx-gateway-fabric,推理网关,观察池,54,59,70,60,71,70,Gateway API方向明确,长期稳定性待观察,观察,用于K8s网关演进跟踪,w4_inference_gateway_map.csv,https://github.com/nginx/nginx-gateway-fabric,N,
emissary-ingress/emissary,推理网关,观察池,53,58,72,61,71,70,可作为入口备选,社区势能一般,观察,用于特定集群入口备选,w4_inference_gateway_map.csv,https://github.com/emissary-ingress/emissary,N,
istio/istio,推理网关,P0,86,88,90,88,44,55,SLA治理和熔断能力最强,运维与学习成本较高,可采纳,作为OwlClaw服务网格护栏,w4_inference_gateway_map.csv,https://github.com/istio/istio,N,
linkerd/linkerd2,推理网关,P2,64,69,84,72,61,60,轻量mesh适合简化治理,高级策略能力相对较弱,观察,用于轻量服务网格备选,w4_inference_gateway_map.csv,https://github.com/linkerd/linkerd2,N,
cilium/cilium,推理网关,观察池,61,67,86,75,64,63,eBPF网络能力强,AI网关直接价值有限,观察,用于网络与安全底座,w4_inference_gateway_map.csv,https://github.com/cilium/cilium,N,
Kong/kong-operator,推理网关,观察池,55,60,70,60,70,69,运维自动化有帮助,绑定Kong体系,观察,用于Kong运维补件,w4_inference_gateway_map.csv,https://github.com/Kong/kong-operator,N,
vllm-project/vllm,推理网关,P0,89,92,87,86,40,50,吞吐与推理效率优势显著,版本迭代快需兼容验证,可采纳,作为高吞吐推理后端,w4_inference_gateway_map.csv,https://github.com/vllm-project/vllm,N,
sgl-project/sglang,推理网关,P2,67,72,76,69,58,63,推理优化能力突出,生态稳定性待验证,观察,作为vLLM补充路线,w4_inference_gateway_map.csv,https://github.com/sgl-project/sglang,N,
huggingface/text-generation-inference,推理网关,观察池,57,62,84,70,69,67,历史生态广泛,维护状态结论在资料中冲突,观察,用于兼容存量部署,w4_inference_gateway_map.csv,https://github.com/huggingface/text-generation-inference,Y,生产可用与维护模式结论冲突
NVIDIA/TensorRT-LLM,推理网关,P2,62,68,78,70,64,66,GPU推理性能强,厂商绑定与硬件约束明显,观察,用于NVIDIA栈性能场景,w4_inference_gateway_map.csv,https://github.com/NVIDIA/TensorRT-LLM,N,
deepspeedai/DeepSpeed,推理网关,P2,63,69,86,72,62,67,训练推理优化能力强,与网关主线耦合有限,观察,用于特定性能优化,w4_inference_gateway_map.csv,https://github.com/deepspeedai/DeepSpeed,N,
ollama/ollama,推理网关,P2,68,74,85,72,58,60,本地部署体验优秀,企业级治理能力需要外补,观察,用于本地/边缘推理,w4_inference_gateway_map.csv,https://github.com/ollama/ollama,N,
openmeterio/openmeter,推理网关,P1,74,79,76,74,52,58,计量与预算账本能力关键,接入改造工作量中等,可采纳,作为成本治理账本层,w4_inference_gateway_map.csv,https://github.com/openmeterio/openmeter,N,
comet-ml/opik,评测观测,P0,85,88,82,83,42,50,评测+观测闭环能力完整,系统接入面较广,可采纳,作为OwlClaw评测中枢,w5_eval_observability_map.csv,https://github.com/comet-ml/opik,N,
promptfoo/promptfoo,评测观测,P0,84,86,83,81,43,48,CI回归与红队测试落地快,用例维护成本会持续增长,可采纳,作为发布门禁评测工具,w5_eval_observability_map.csv,https://github.com/promptfoo/promptfoo,N,
langfuse/langfuse,评测观测,P1,79,83,82,80,50,56,LLM tracing与反馈闭环成熟,许可证标记需法务复核,可采纳,作为线上观测主面板,w5_eval_observability_top30.csv,https://github.com/langfuse/langfuse,Y,高优先级与许可证风险并存
Helicone/helicone,评测观测,P2,69,74,76,70,58,60,API成本和延迟分析直观,与现有观测栈可能重叠,观察,用于网关侧成本观测,w5_eval_observability_map.csv,https://github.com/Helicone/helicone,N,
openlit/openlit,评测观测,P2,68,73,74,69,59,60,OTel原生便于统一接入,产品成熟度中等,观察,用于OTel链路补齐,w5_eval_observability_map.csv,https://github.com/openlit/openlit,N,
Arize-ai/phoenix,评测观测,P1,76,81,80,77,52,58,质量分析与实验能力突出,许可证元数据待补证据,可采纳,用于模型质量对比,w5_eval_observability_map.csv,https://github.com/Arize-ai/phoenix,N,待补证据:license确认
openai/evals,评测观测,P1,74,79,82,74,54,57,官方评测基线有参考性,与业务指标映射需二次设计,可采纳,用于基线评测集,w5_eval_observability_map.csv,https://github.com/openai/evals,N,
openai/simple-evals,评测观测,P2,66,71,74,66,60,62,轻量评测上手快,覆盖深度有限,观察,用于快速回归检查,w5_eval_observability_map.csv,https://github.com/openai/simple-evals,N,
huggingface/lighteval,评测观测,P1,72,77,78,72,55,60,多模型评测灵活,线上可解释性需补,可采纳,用于离线模型对比,w5_eval_observability_map.csv,https://github.com/huggingface/lighteval,N,
truera/trulens,评测观测,P1,71,76,77,71,56,60,RAG/LLM评测链路成熟,接入复杂度中等,可采纳,用于质量守门,w5_eval_observability_map.csv,https://github.com/truera/trulens,N,
confident-ai/deepeval,评测观测,P1,72,77,76,72,55,59,测试框架适合集成CI,指标设计不当会失真,可采纳,用于评测自动化,w5_eval_observability_map.csv,https://github.com/confident-ai/deepeval,N,
mlflow/mlflow,评测观测,P2,65,70,90,76,61,66,MLOps治理能力强,过于通用带来复杂度,观察,用于实验与模型登记,w5_eval_observability_map.csv,https://github.com/mlflow/mlflow,N,
pydantic/logfire,评测观测,P2,64,69,75,68,60,61,开发态观测体验好,生产场景覆盖需验证,观察,用于应用日志增强,w5_eval_observability_map.csv,https://github.com/pydantic/logfire,N,
AgentOps-AI/agentops,评测观测,P2,63,68,73,67,62,61,Agent观测维度丰富,平台耦合风险中等,观察,用于Agent运行可视化,w5_eval_observability_map.csv,https://github.com/AgentOps-AI/agentops,N,
microsoft/promptflow,评测观测,P2,67,72,78,70,59,63,流程化评测管理较完整,平台迁移成本不低,观察,用于企业流程化评测,w5_eval_observability_map.csv,https://github.com/microsoft/promptflow,N,
microsoft/prompty,评测观测,观察池,55,61,66,58,70,68,prompt资产化管理可参考,并非完整评测体系,观察,用于prompt资产管理,w5_eval_observability_map.csv,https://github.com/microsoft/prompty,N,
vibrantlabsai/ragas,评测观测,P2,68,73,75,69,58,60,RAG评测指标实用,指标口径需要本地化,观察,用于RAG质量评估,w5_eval_observability_map.csv,https://github.com/vibrantlabsai/ragas,N,
EvolvingLMMs-Lab/lmms-eval,评测观测,观察池,54,60,65,57,71,69,多模态评测方向有前瞻性,与当前主线耦合较弱,观察,用于多模态预研,w5_eval_observability_map.csv,https://github.com/EvolvingLMMs-Lab/lmms-eval,N,
EleutherAI/lm-evaluation-harness,评测观测,观察池,58,64,86,72,67,70,经典评测框架成熟,业务对齐需要大量定制,观察,用于离线大模型评测,w5_eval_observability_map.csv,https://github.com/EleutherAI/lm-evaluation-harness,N,
open-telemetry/opentelemetry-collector,评测观测,P0,86,88,91,85,43,52,统一采集骨干不可替代,语义约定不统一会碎片化,可采纳,作为全链路可观测底座,w4_inference_gateway_map.csv,https://github.com/open-telemetry/opentelemetry-collector,N,
prometheus/prometheus,评测观测,P1,78,82,94,86,50,58,指标采集标准事实层,高基数指标治理有挑战,可采纳,作为SLO指标底层,w4_inference_gateway_map.csv,https://github.com/prometheus/prometheus,N,
grafana/grafana,评测观测,P1,77,81,94,85,50,57,可视化与告警生态成熟,仪表盘治理易失控,可采纳,作为统一可视化层,w4_inference_gateway_map.csv,https://github.com/grafana/grafana,N,
jaegertracing/jaeger,评测观测,P2,66,71,86,74,60,63,追踪排障价值高,与OTel部署复杂度叠加,观察,作为trace后端备选,w4_inference_gateway_map.csv,https://github.com/jaegertracing/jaeger,N,
protectai/rebuff,安全治理,观察池,45,50,42,46,78,72,历史攻击样例有参考价值,维护中断风险高,不建议,仅用于历史用例学习,w6_ai_security_governance_map.csv,https://github.com/protectai/rebuff,N,
NVIDIA/garak,安全治理,P1,74,79,78,74,52,58,对抗测试覆盖面较广,误报处理需要流程化,可采纳,作为安全红队基线,w6_ai_security_governance_map.csv,https://github.com/NVIDIA/garak,N,
