evidence_id,claim_id,evidence_type,repo,url,title,updated_at,why_relevant
E026,C3-A02,release,huggingface/lighteval,https://github.com/huggingface/lighteval/releases/tag/v0.13.0,v0.13.0,2025-11-24T15:57:33Z,Upgrade and security regression window signal
E027,C3-A03,release,huggingface/lighteval,https://github.com/huggingface/lighteval/releases/tag/v0.12.2,V0.12.2,2025-11-12T13:40:19Z,Upgrade and security regression window signal
E028,C3-A04,repo,confident-ai/deepeval,https://github.com/confident-ai/deepeval,The LLM Evaluation Framework,2026-03-09T07:53:05Z,Eval/security core repository signal
E029,C3-A05,issue,confident-ai/deepeval,https://github.com/confident-ai/deepeval/issues/2512,`KnowledgeRetentionMetric`: Pydantic `ValidationError` in `_extract_knowledges` due to double-wrapped `Knowledge(data=data)`,2026-03-09T07:27:19Z,Observed failure pattern from maintainer/user reports
E030,C3-A06,pr,confident-ai/deepeval,https://github.com/confident-ai/deepeval/pull/2543,Add tags field to Golden and ConversationalGolden,2026-03-09T08:02:29Z,Mitigation/change evidence in code path
E031,C3-A07,pr,confident-ai/deepeval,https://github.com/confident-ai/deepeval/pull/2542,Allow BatchSpanProcessor to be configurable for agentcore integration,2026-03-09T03:46:01Z,Mitigation/change evidence in code path
E032,C3-A08,release,confident-ai/deepeval,https://github.com/confident-ai/deepeval/releases/tag/v3.8.9,"🎉 Metrics for AI agents, multi-turn synthetic data generation, and more!",2025-12-01T10:52:54Z,Upgrade and security regression window signal
E033,C3-A09,release,confident-ai/deepeval,https://github.com/confident-ai/deepeval/releases/tag/v3.7.2,"🎉 New Interfaces, Reduce ETL Code < 50%!",2025-08-04T07:15:22Z,Upgrade and security regression window signal
E034,C3-A10,repo,vibrantlabsai/ragas,https://github.com/vibrantlabsai/ragas,Supercharge Your LLM Application Evaluations 🚀,2026-03-09T07:41:31Z,Eval/security core repository signal
E035,C3-A11,issue,vibrantlabsai/ragas,https://github.com/vibrantlabsai/ragas/issues/2629,measure hallucination rates,2026-03-08T16:42:53Z,Observed failure pattern from maintainer/user reports
E036,C3-A12,pr,vibrantlabsai/ragas,https://github.com/vibrantlabsai/ragas/pull/2630,fix: close file handle in get_userid() to resolve ResourceWarning,2026-03-09T09:01:46Z,Mitigation/change evidence in code path
E037,C3-A01,pr,vibrantlabsai/ragas,https://github.com/vibrantlabsai/ragas/pull/2570,Add testset generation example using Knowledge Graphs,2026-03-08T17:34:41Z,Mitigation/change evidence in code path
E038,C3-A02,release,vibrantlabsai/ragas,https://github.com/vibrantlabsai/ragas/releases/tag/v0.4.3,v0.4.3,2026-01-13T17:47:29Z,Upgrade and security regression window signal
E039,C3-A03,release,vibrantlabsai/ragas,https://github.com/vibrantlabsai/ragas/releases/tag/v0.4.2,v0.4.2,2025-12-23T17:13:41Z,Upgrade and security regression window signal
E040,C3-A04,repo,truera/trulens,https://github.com/truera/trulens,Evaluation and Tracking for LLM Experiments and AI Agents,2026-03-09T09:44:51Z,Eval/security core repository signal
E041,C3-A05,issue,truera/trulens,https://github.com/truera/trulens/issues/2355,Add a RAG failure mode checklist to help users design evals and interpret failures,2026-02-28T11:59:10Z,Observed failure pattern from maintainer/user reports
E042,C3-A06,pr,truera/trulens,https://github.com/truera/trulens/pull/2354,"[Tech Debt Reduction] Refactor: Reorganize feedback templates into domain-based package, reduce v2 tech debt",2026-03-06T00:45:39Z,Mitigation/change evidence in code path
E043,C3-A07,pr,truera/trulens,https://github.com/truera/trulens/pull/2369,TruLens v2.7.1,2026-03-06T00:44:19Z,Mitigation/change evidence in code path
E044,C3-A08,release,truera/trulens,https://github.com/truera/trulens/releases/tag/trulens-2.7.0,TruLens 2.7.0,2026-02-19T02:01:32Z,Upgrade and security regression window signal
E045,C3-A09,release,truera/trulens,https://github.com/truera/trulens/releases/tag/trulens-2.6.0,TruLens 2.6.0,2026-02-04T20:34:59Z,Upgrade and security regression window signal
E046,C3-A10,repo,Arize-ai/phoenix,https://github.com/Arize-ai/phoenix,AI Observability & Evaluation,2026-03-09T09:42:19Z,Eval/security core repository signal
E047,C3-A11,pr,Arize-ai/phoenix,https://github.com/Arize-ai/phoenix/pull/11944,feat(playground): add experiment record toggle with ephemeral tracking,2026-03-09T06:55:50Z,Mitigation/change evidence in code path
E048,C3-A12,pr,Arize-ai/phoenix,https://github.com/Arize-ai/phoenix/pull/11941,chore(main): release arize-phoenix-client 1.32.0,2026-03-09T06:05:14Z,Mitigation/change evidence in code path
E049,C3-A01,release,Arize-ai/phoenix,https://github.com/Arize-ai/phoenix/releases/tag/arize-phoenix-v13.11.0,arize-phoenix: v13.11.0,2026-03-08T19:13:42Z,Upgrade and security regression window signal
E050,C3-A02,release,Arize-ai/phoenix,https://github.com/Arize-ai/phoenix/releases/tag/arize-phoenix-v13.10.0,arize-phoenix: v13.10.0,2026-03-08T03:01:27Z,Upgrade and security regression window signal
E051,C3-A03,repo,langfuse/langfuse,https://github.com/langfuse/langfuse,"🪢 Open source LLM engineering platform: LLM Observability, metrics, evals, prompt management, playground, datasets. Integrates with OpenTelemetry, Langchain, OpenAI SDK, LiteLLM, and more. 🍊YC W23 ",2026-03-09T09:50:10Z,Eval/security core repository signal
E052,C3-A04,issue,langfuse/langfuse,https://github.com/langfuse/langfuse/issues/12463,[Feature Request] Duplicate / Clone a prompt folder,2026-03-09T09:49:25Z,Observed failure pattern from maintainer/user reports
E053,C3-A05,issue,langfuse/langfuse,https://github.com/langfuse/langfuse/issues/10692,Bug: Score deletion intermittently fails — ClickHouse mutation marked done but _row_exists stays 1 (CH 25.6 → Langfuse 3.127.0),2026-03-09T09:31:27Z,Observed failure pattern from maintainer/user reports
E054,C3-A06,pr,langfuse/langfuse,https://github.com/langfuse/langfuse/pull/12461,chore: allow users to filter from trace detail view,2026-03-09T09:46:03Z,Mitigation/change evidence in code path
E055,C3-A07,pr,langfuse/langfuse,https://github.com/langfuse/langfuse/pull/12336,"fix(auth): fall back to ""mail"" attribute in custom SSO profile",2026-03-09T09:36:20Z,Mitigation/change evidence in code path
E056,C3-A08,release,langfuse/langfuse,https://github.com/langfuse/langfuse/releases/tag/v3.156.0,v3.156.0,2026-03-05T17:13:43Z,Upgrade and security regression window signal
E057,C3-A09,release,langfuse/langfuse,https://github.com/langfuse/langfuse/releases/tag/v3.155.1,v3.155.1,2026-02-23T17:10:05Z,Upgrade and security regression window signal
