repo,relevance,category,stars_estimate,pushed_at_estimate,license,state_management,persistence,multi_agent,human_in_loop,observability,production_signal,demo_risk,why,url
mem0ai/mem0,Medium,Memory subsystem,49125,2026-03-09,Apache-2.0,Low,High,Low,Low,Low,High,Low,"Decoupled memory service is crucial adjunct to orchestration layers.",https://api.github.com/repos/mem0ai/mem0
letta-ai/letta,Medium,Stateful agent platform,21470,2026-03-04,Apache-2.0,High,High,Medium,Medium,Medium,Medium,Medium,"Stateful memory lifecycle patterns complement orchestration decisions.",https://api.github.com/repos/letta-ai/letta
InternLM/MindSearch,Medium,Task-specific multi-agent,6789,2025-07-04,Apache-2.0,Medium,Low,High,Low,Low,Medium,Medium,"Domain-focused multi-agent orchestration for search-style reasoning.",https://api.github.com/repos/InternLM/MindSearch
TauricResearch/TradingAgents,Medium,Domain multi-agent,31636,2026-02-25,Apache-2.0,Medium,Low,High,Low,Low,Medium,Medium,"Vertical framework shows collaboration and routing patterns under constraints.",https://api.github.com/repos/TauricResearch/TradingAgents
crewAIInc/crewAI-examples,Weak,Examples/tutorials,5622,2026-03-06,Unknown,Low,Low,Medium,Low,Low,Low,High,"Helpful for onboarding but mostly demonstration assets.",https://api.github.com/repos/crewAIInc/crewAI-examples
NirDiamant/GenAI_Agents,Weak,Tutorial notebook collection,20378,2026-02-17,NOASSERTION,Low,Low,Medium,Low,Low,Low,High,"Great survey content but not production runtime.",https://api.github.com/repos/NirDiamant/GenAI_Agents
victordibia/autogen-ui,Weak,Community UI wrapper,990,2024-11-14,MIT,Low,Low,Low,Medium,Low,Low,High,"UI shell for demos and experiments, limited runtime depth.",https://api.github.com/repos/victordibia/autogen-ui
microsoft/spec-to-agents,Weak,Reference sample,81,2026-02-16,MIT,Medium,Low,High,Low,Low,Low,High,"Shows patterns bridging frameworks but sample-grade scope.",https://api.github.com/repos/microsoft/spec-to-agents
Azure/gpt-rag-orchestrator,Weak,Template/sample orchestrator,79,2026-03-06,MIT,Medium,Medium,Medium,Low,Low,Low,High,"Useful architecture sample, less evidence of broad production hardening.",https://api.github.com/repos/Azure/gpt-rag-orchestrator
coleam00/PydanticAI-Research-Agent,Weak,Single-agent demo,129,2025-11-17,Unknown,Low,Low,Low,Low,Low,Low,High,"Educational project centered on one research-agent implementation.",https://api.github.com/repos/coleam00/PydanticAI-Research-Agent
ababdotai/awesome-agent-quickstart,Weak,Quickstart aggregation,Unknown,Unknown,Unknown,Low,Low,Medium,Low,Low,Low,High,"Starter examples across frameworks; low direct production signal.",https://api.github.com/repos/ababdotai/awesome-agent-quickstart
wjayesh/mahilo,Weak,HITL-focused framework,470,2025-04-02,NOASSERTION,Medium,Low,High,High,Low,Low,High,"Interesting HITL idea but limited momentum and ecosystem depth.",https://api.github.com/repos/wjayesh/mahilo
vstorm-co/full-stack-ai-agent-template,Weak,Boilerplate/template,614,2026-03-07,MIT,Medium,Medium,Medium,High,High,Low,High,"Production-style template, but still starter scaffold rather than framework core.",https://api.github.com/repos/vstorm-co/full-stack-ai-agent-template
humanlayer/12-factor-agents,Weak,Principles/doc-driven,18603,2025-09-21,NOASSERTION,Low,Low,Low,High,Low,Low,High,"High-value methodology repo, but not a runtime orchestration engine.",https://api.github.com/repos/humanlayer/12-factor-agents
