repo,last_release_tag,last_release_date,breaking_changes,impact_api_config_deploy_data,migration_complexity,rollback_strategy,owlclaw_module_mapping,evidence_url
modelcontextprotocol/kotlin-sdk,0.9.0,2026-03-05,Explicit breaking changes: handler signatures require RequestContext; Ktor extension moved Routing->Route; cancellation behavior changed,"API breaking for server handlers and route wiring; config/deploy impacts for Ktor mounting; data model low impact but request metadata now required",high,"Dual-compile branch with old/new handler adapters; rollback to 0.8.4 and maintain compatibility wrapper",tool-protocol-sdk-kotlin,https://api.github.com/repos/modelcontextprotocol/kotlin-sdk/releases/latest
modelcontextprotocol/rust-sdk,rmcp-v1.1.0,2026-03-04,No explicit break in latest release,"API adds OAuth client credentials flow; config/auth surface expands; deployment impact low; data model unchanged",medium,"Rollback to rmcp-v1.0.x if auth flow integration fails; disable new flow behind feature flag",tool-protocol-sdk-rust,https://api.github.com/repos/modelcontextprotocol/rust-sdk/releases/latest
modelcontextprotocol/php-sdk,v0.4.0,2026-02-23,Potential soft break: class rename Psr16StoreSession -> Psr16SessionStore and transport/session refactors,"API class and exception behavior changed; config middleware/session header constants changed; deployment low; data model unchanged",high,"Introduce class alias shim in internal wrappers; rollback to v0.3.0 if session store migration fails",tool-protocol-sdk-php,https://api.github.com/repos/modelcontextprotocol/php-sdk/releases/latest
modelcontextprotocol/swift-sdk,0.11.0,2026-02-19,No explicit hard break but spec coverage jump to 2025-11-25 and transport additions can alter compatibility assumptions,"API capabilities expanded with icons/elicitation; config/deploy affected by new HTTP transport; data model mostly additive",medium,"Pin to 0.10.2 for old-spec clients; run conformance matrix before full rollout",tool-protocol-sdk-swift,https://api.github.com/repos/modelcontextprotocol/swift-sdk/releases/latest
continuedev/continue,v1.5.45,2026-03-04,No changelog details in latest release artifact creating visibility risk,"API/config/deploy/data impacts opaque without release notes; high governance risk for upgrades",high,"Require release-candidate soak and internal diff review before promoting; keep previous CLI binary for instant rollback",ide-and-ci-agent-workflow,https://api.github.com/repos/continuedev/continue/releases/latest
Aider-AI/aider,v0.86.0,2025-08-09,No explicit breaking marker; model/provider support and dependency bumps can alter behavior,"API command behavior mostly stable; config model mappings and analytics deps updated; deployment low; data model low",medium,"Pin litellm/openai deps with aider version; rollback to previous aider minor if model routing regresses",developer-agent-cli,https://api.github.com/repos/Aider-AI/aider/releases/latest
openinterpreter/open-interpreter,v0.4.2,2024-10-24,Older prerelease-only cadence and no recent stable releases imply maintenance/compatibility uncertainty,"API endpoints and dependency set changed around 0.4.x; config/deploy for server mode shifted; data model uncertain due stale release governance",high,"Treat as frozen integration; isolate behind adapter service and keep hard pin to known tag",computer-use-runtime,https://api.github.com/repos/openinterpreter/open-interpreter/releases?per_page=3
e2b-dev/E2B,@e2b/python-sdk@2.15.1,2026-03-06,No explicit breaking change in latest patch; mono-repo release stream is package-scoped,"API changes often package-specific; config/deploy impacts may differ per sdk/template; data model low in latest patch",medium,"Pin per-package tags and avoid floating mono-repo references; rollback by package tag",sandbox-execution-platform,https://api.github.com/repos/e2b-dev/E2B/releases/latest
mem0ai/mem0,v1.0.5,2026-03-03,Release notes reference a filter validation breaking change in delete_all docs, indicating recent contract tightening,"API validation stricter in memory operations; config telemetry toggles fixed; deploy low; data model and filter semantics impacted",high,"Add compatibility tests for delete_all/filter calls; rollback to 1.0.4 if validation breaks pipelines",memory-and-context-layer,https://api.github.com/repos/mem0ai/mem0/releases/latest
openai/openai-agents-python,v0.11.1,2026-03-09,No explicit breaking in latest patch but docs call out GA computer tool migration path across guides,"API likely shifting around computer tool aliases and tracing; config updates needed for GA computer migration; deploy low; trace schema can shift",medium,"Pin to v0.11.0 in canary if GA computer migration causes regressions; maintain adapter for alias mapping",agent-sdk-and-tooling,https://api.github.com/repos/openai/openai-agents-python/releases/latest
