claim_id,topic,claim,source_type,url,evidence_excerpt,date_observed,novelty
C6-A04,rag,Qdrant minor upgrades can introduce internal errors and snapshot restore failures requiring rollback,issue,https://github.com/qdrant/qdrant/issues/7622,"Snapshot restore: Service internal error: Json error: invalid type: null expected usize at line 1 column 492",2025-12-04,high
C6-A04,rag,Qdrant minor upgrades can introduce internal errors and snapshot restore failures requiring rollback,issue,https://github.com/qdrant/qdrant/issues/8180,"unknown variant on_disk expected mmap or in_ram_mmap",2026-02-20,medium
C6-A05,eval,DeepEval minor upgrades break model config (Gemini judge Azure deployment) and remove metrics without clear migration,issue,https://github.com/confident-ai/deepeval/issues/2377,"Upgrading deepeval from 3.7.3 to 3.7.4 breaks Gemini judge model",2025-12-17,high
C6-A05,eval,DeepEval minor upgrades break model config (Gemini judge Azure deployment) and remove metrics without clear migration,issue,https://github.com/confident-ai/deepeval/issues/2321,"ConversationRelevancyMetric Removed in DeepEval 3.7.x Need Official Replacement & Clarification",2025-11-24,high
C6-A05,eval,DeepEval minor upgrades break model config (Gemini judge Azure deployment) and remove metrics without clear migration,issue,https://github.com/confident-ai/deepeval/issues/2395,"Breaking change in v3.7.6: AmazonBedrockModel missing region_name alias",2025-12-29,high
C6-A06,security,NeMo Guardrails major release removes streaming config and moves reasoning traces causing config/schema migration pain,release,https://github.com/NVIDIA-NeMo/Guardrails/releases/tag/v0.20.0,"(streaming) [breaking] Drop streaming field from config; reasoning traces moved to dedicated field; Python 3.9 dropped",2026-01-22,high
C6-A06,security,NeMo Guardrails major release removes streaming config and moves reasoning traces causing config/schema migration pain,release,https://github.com/NVIDIA-NeMo/Guardrails/releases/tag/v0.19.0,"LangChain v1.x Support; content blocks API; reasoning traces and tool calls",2025-12-03,medium
C6-A06,security,NeMo Guardrails major release removes streaming config and moves reasoning traces causing config/schema migration pain,release,https://github.com/NVIDIA-NeMo/Guardrails/releases/tag/v0.18.0,"[breaking] Extract reasoning traces to separate field; stream_async raise when output rails streaming disabled; Drop Python 3.9",2025-11-06,high
C6-A07,observability,Langfuse self-hosted upgrades can break ClickHouse migrations and cause internal server errors loading traces,issue,https://github.com/langfuse/langfuse/issues/12172,"Internal server errors loading traces caused by broken clickhouse after upgrading langfuse",2026-03-09,high
C6-A07,observability,Langfuse self-hosted upgrades can break ClickHouse migrations and cause internal server errors loading traces,issue,https://github.com/langfuse/langfuse/issues/12077,"ClickHouse migration fails when password contains special characters - needs URL encoding in up.sh",2026-02-18,medium
C6-A07,observability,Langfuse self-hosted upgrades can break ClickHouse migrations and cause internal server errors loading traces,issue,https://github.com/langfuse/langfuse/issues/12223,"Observation-level LLM-as-a-Judge fails on self-hosted — events_core table missing",2026-02-26,medium
C6-A08,gateway,Provider-specific translation bugs (Bedrock Vertex) cause breaking behavior and overbilling after gateway/LiteLLM upgrades,issue,https://github.com/BerriAI/litellm/issues/23178,"[Bug]: Bedrock Claude extended thinking streams mixed choice indices (0 and 1) breaking OpenAI compatibility",2026-03-09,high
C6-A08,gateway,Provider-specific translation bugs (Bedrock Vertex) cause breaking behavior and overbilling after gateway/LiteLLM upgrades,issue,https://github.com/BerriAI/litellm/issues/22970,"[Bug]: VertexAI (Gemini) + LiteLLM Request Caching is broken",2026-03-06,medium
C6-A08,gateway,Provider-specific translation bugs (Bedrock Vertex) cause breaking behavior and overbilling after gateway/LiteLLM upgrades,issue,https://github.com/BerriAI/litellm/issues/22622,"[Bug]: Audio transcription can be massively overbilled when local soundfile fallback returns invalid duration",2026-03-07,medium
C6-A09,eval,RAGAS version upgrades change metric APIs and schema (e.g. v0.4) causing evaluate() and indicator compatibility failures,issue,https://github.com/vibrantlabsai/ragas/issues/2525,"TypeError: collections metrics not recognized by evaluate()/aevaluate() isinstance check in v0.4.0",2025-12-23,high
C6-A09,eval,RAGAS version upgrades change metric APIs and schema (e.g. v0.4) causing evaluate() and indicator compatibility failures,issue,https://github.com/vibrantlabsai/ragas/issues/2566,"The indicators of version 0.4.3 only have scores but no explanations",2026-01-16,medium
C6-A09,eval,RAGAS version upgrades change metric APIs and schema (e.g. v0.4) causing evaluate() and indicator compatibility failures,issue,https://github.com/vibrantlabsai/ragas/issues/2231,"Feedback Request: Future of Testset Generation Module in Ragas v0.4",2025-08-28,medium
C6-A10,upgrade_risk,Explicit breaking changes in AI stack (API config deployment) are concentrated in observability gateway and security guardrails,changelog,https://github.com/Azure/PyRIT/releases/tag/v0.11.0,"Core object model/API refactor: Message replaces SeedPromptGroup; target/auth/config args changed",2025-12,high
C6-A10,upgrade_risk,Explicit breaking changes in AI stack (API config deployment) are concentrated in observability gateway and security guardrails,changelog,https://github.com/truera/trulens/releases/tag/trulens-2.7.0,"Metric API becomes primary and replaces Feedback/MetricConfig path (deprecated compatibility only)",2026-02,high
C6-A10,upgrade_risk,Explicit breaking changes in AI stack (API config deployment) are concentrated in observability gateway and security guardrails,internal,../../40-insights/risks/upgrade-risk-matrix.csv,"NVIDIA-NeMo/Guardrails explicit_breaking; truera/trulens; semgrep MCP transport/auth; open-telemetry collector",2026-03-09,medium
C6-A11,rollback,Rollback readiness (pin version snapshot restore last-known-good) is documented in upgrade-risk matrix for agent gateway RAG eval security,internal,../../40-insights/risks/upgrade-risk-matrix.csv,"rollback_suggestion: Pin v0.19.x Guardrails; rollback gateway image; restore prior snapshot Qdrant; pin SDK+server MCP",2026-03-09,medium
C6-A11,rollback,Rollback readiness (pin version snapshot restore last-known-good) is documented in upgrade-risk matrix for agent gateway RAG eval security,issue,https://github.com/qdrant/qdrant/issues/7851,"Restore of cluster snapshots creates unnecessary replicas in Partial state",2026-01-02,medium
C6-A12,cross_track,Cross-track upgrade decisions (agent+MCP gateway+eval) should consider compatibility pairs and atomic rollback units,internal,../../20-normalized/handoff_B_to_C_2026-03-09_C5.md,"B-window: evidence matrix and RAG scoring need velocity and profile dimensions",2026-03-09,low
C6-A12,cross_track,Cross-track upgrade decisions (agent+MCP gateway+eval) should consider compatibility pairs and atomic rollback units,internal,../../00-index/CYCLE_SCOREBOARD.csv,"C5/C6 theme agent_rag_architecture_tradeoffs; quality_score 78-79",2026-03-09,low
