repo,layer,stars_estimate,activity_estimate,license,data_ingestion,indexing_strategy,retrieval_quality,scalability,ops_complexity,source_url
beir-cellar/beir,retrieval_quality,4k+,medium,MIT,low,low,high,low,low,https://api.github.com/repos/beir-cellar/beir
UKPLab/sentence-transformers,retrieval_quality,25k+,high,Apache-2.0,low,low,high,medium,low,https://api.github.com/repos/UKPLab/sentence-transformers
FlagOpen/FlagEmbedding,retrieval_quality,20k+,high,MIT,low,low,high,medium,low,https://api.github.com/repos/FlagOpen/FlagEmbedding
jina-ai/jina,retrieval_quality,24k+,medium,Apache-2.0,medium,medium,high,high,medium,https://api.github.com/repos/jina-ai/jina
AnswerDotAI/rerankers,reranker,1k+,medium,Apache-2.0,low,low,high,low,low,https://api.github.com/search/repositories?q=rerank+in:name,description&sort=stars&order=desc&per_page=100
PrithivirajDamodaran/FlashRank,reranker,900+,medium,Apache-2.0,low,low,medium,low,low,https://api.github.com/search/repositories?q=topic:reranking&sort=stars&order=desc&per_page=100
michaelfeil/infinity,reranker,2k+,medium,MIT,low,low,medium,medium,low,https://api.github.com/search/repositories?q=rerank+in:name,description&sort=stars&order=desc&per_page=100
embeddings-benchmark/mteb,retrieval_quality,3k+,high,Apache-2.0,low,low,very_high,low,low,https://api.github.com/search/repositories?q=topic:reranking&sort=stars&order=desc&per_page=100
stanford-oval/storm,framework,27k+,medium,MIT,medium,medium,high,medium,medium,https://api.github.com/search/repositories?q=topic:retrieval-augmented-generation&sort=stars&order=desc&per_page=100
khoj-ai/khoj,framework,33k+,high,AGPL-3.0,high,medium,medium,medium,low,https://api.github.com/search/repositories?q=topic:semantic-search&sort=stars&order=desc&per_page=100
superlinear-ai/raglite,framework,1k+,high,MPL-2.0,medium,medium,high,medium,low,https://api.github.com/search/repositories?q=topic:reranking&sort=stars&order=desc&per_page=100
Tencent/WeKnora,framework,13k+,very_high,NOASSERTION,high,high,high,high,high,https://api.github.com/search/repositories?q=topic:reranking&sort=stars&order=desc&per_page=100
AirbyteHQ/airbyte,ingestion,20k+,high,ELv2,very_high,low,low,high,high,https://api.github.com/repos/AirbyteHQ/airbyte
apache/tika,ingestion,3k+,high,Apache-2.0,very_high,low,low,high,medium,https://api.github.com/repos/apache/tika
apache/nifi,ingestion,5k+,high,Apache-2.0,very_high,low,low,high,high,https://api.github.com/repos/apache/nifi
apache/kafka,streaming,31k+,high,Apache-2.0,high,low,low,very_high,high,https://api.github.com/repos/apache/kafka
apache/spark,index_pipeline,41k+,high,Apache-2.0,high,medium,low,very_high,high,https://api.github.com/repos/apache/spark
duckdb/duckdb,index_pipeline,30k+,very_high,MIT,medium,medium,medium,high,low,https://api.github.com/repos/duckdb/duckdb
ClickHouse/ClickHouse,index_pipeline,39k+,very_high,Apache-2.0,medium,high,medium,very_high,high,https://api.github.com/repos/ClickHouse/ClickHouse
dragonflydb/dragonfly,search_engine,30k+,very_high,NOASSERTION,medium,medium,medium,very_high,medium,https://api.github.com/search/repositories?q=topic:vector-search&sort=stars&order=desc&per_page=100
